restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Anand Food Xprs,Restaurant,North Indian,3.0,150.0,Katraj,,Pune
Hotel Vijay Executive,Restaurant,"North Indian, Chinese, Malwani",3.1,500.0,Hadapsar,,Pune
Cool Cafe,Restaurant,Fast Food,3.0,150.0,Chinchwad,,Pune
Tirupati Pure Veg,Restaurant,"North Indian, Chinese, Desserts",3.2,550.0,Nigdi,,Pune
The Food Gallery,Restaurant,"North Indian, Parsi, Continental",3.6,500.0,Kondhwa,,Pune
Anytime Coffee Shop,Restaurant,"North Indian, Continental, Chinese",3.2,2000.0,Baner,,Pune
Savtamali Restaurant,Restaurant,"North Indian, South Indian, Fast Food, Chinese",3.5,300.0,Baner,,Pune
Lucky,Restaurant,"Chinese, Biryani",3.4,500.0,Dange Chowk,,Pune
Nukkad Cafe,Restaurant,"Chinese, Fast Food, North Indian",3.7,400.0,Viman Nagar,,Pune
New Crown Bakers,Restaurant,"Bakery, Desserts",2.9,150.0,Yerawada,,Pune
Sugran Swayapakghar,Restaurant,Maharashtrian,3.2,150.0,Shaniwar Peth,,Pune
Hotel Kokanbhumi,Restaurant,Konkan,3.4,400.0,Chinchwad,,Pune
Shripad Idli Centre,Restaurant,"South Indian, Street Food",3.4,100.0,Shaniwar Peth,,Pune
24 Carat Ice Cream World,Restaurant,"Fast Food, Ice Cream, Beverages",3.1,300.0,Erandwane,,Pune
Hotel Swaraaj,Restaurant,Street Food,3.3,100.0,Baner,,Pune
Shiv Sagar,Restaurant,"North Indian, Chinese, South Indian",3.2,300.0,Sinhgad Road,,Pune
M R Ghodke,Restaurant,"Mithai, Street Food",3.0,250.0,Kothrud,,Pune
Creamy Delights,Restaurant,Bakery,3.7,250.0,Kalyani Nagar,,Pune
Atithi Misal House,Restaurant,Street Food,3.5,100.0,Pimpri,,Pune
Zaika Food Court,Restaurant,"North Indian, Fast Food",3.1,200.0,Bavdhan,,Pune
Burger Hut,Restaurant,Fast Food,3.5,250.0,SB Road - Aundh,,Pune
V2U Meals,Restaurant,"North Indian, South Indian",3.3,250.0,Pune University,,Pune
Leboa - St Laurn Hotel,Restaurant,North Indian,2.9,1200.0,Koregaon Park,,Pune
New Prachi Pure Veg,Restaurant,"North Indian, South Indian, Chinese",2.8,350.0,Mulshi Road,,Pune
Kala's Veg,Restaurant,"Maharashtrian, North Indian, Continental",3.4,550.0,Satara Road,,Pune
Kala's Veg,Restaurant,"Maharashtrian, North Indian, Continental",3.4,550.0,Satara Road,,Pune
Murlidhar,Restaurant,"South Indian, Fast Food",2.9,200.0,Shukrawar Peth,,Pune
Hotel Malhar,Restaurant,"North Indian, Chinese",3.2,400.0,Hinjawadi,,Pune
Ganu Shinde Icecream,Restaurant,"Desserts, Ice Cream",3.2,150.0,Budhwar Peth,,Pune
The Foodie's Hut,Restaurant,"North Indian, South Indian, Chinese",3.4,600.0,Pimple Saudagar,,Pune
Apoorva,Restaurant,"North Indian, Continental, Chinese, Italian",2.9,500.0,Swargate,,Pune
Hotel Hindvi,Restaurant,"North Indian, Chinese",3.5,700.0,Wagholi,,Pune
Deli - Vivanta Pune,Restaurant,"Desserts, Bakery",3.5,600.0,Hinjawadi,,Pune
Rita's Cakes N Chocolates,Restaurant,"Bakery, Desserts",3.2,500.0,Wanowrie,,Pune
Cafe Doodle,Restaurant,"North Indian, South Indian, Maharashtrian",3.4,400.0,Camp Area,,Pune
Mangal Vihar,Restaurant,"North Indian, Chinese",3.4,700.0,East Street,,Pune
DSK Bakery,Restaurant,Bakery,3.0,300.0,Camp Area,,Pune
Café Paradise,Restaurant,Fast Food,2.9,350.0,Erandwane,,Pune
Hotel 7 Days,Restaurant,"North Indian, Chinese",3.7,450.0,Bavdhan,,Pune
Bombay Gourmet,Restaurant,"North Indian, Mughlai, Chinese",3.7,1200.0,Lonavala,,Pune
Burger Alert,Restaurant,Fast Food,3.2,300.0,Kothrud Area,,Pune
Speedy Punjabi,Restaurant,"North Indian, Chinese",2.4,750.0,Wakad,,Pune
Salt N Pepper,Restaurant,Chinese,3.5,500.0,Bhosari,,Pune
Saranga,Restaurant,"North Indian, Chinese, Mangalorean",3.1,700.0,Sadashiv Peth,,Pune
Ashirwad Dining Hall,Restaurant,Gujarati,3.6,250.0,Katraj,,Pune
Just Franky,Restaurant,"Fast Food, Chinese",2.9,500.0,Khadakwasla,,Pune
Cafe Pepper Jack,Restaurant,"North Indian, Fast Food",3.6,400.0,Sinhgad Road,,Pune
Cake Cloud,Restaurant,Bakery,3.0,400.0,Magarpatta,,Pune
Agatya Pure Veg,Restaurant,"North Indian, Chinese",3.0,500.0,Bhosari,,Pune
Abhinandan Non Veg,Restaurant,North Indian,3.0,600.0,Bhosari,,Pune
Kap's Corner,Restaurant,North Indian,3.5,250.0,Aundh,,Pune
Shivkumar Snacks Centre,Restaurant,Street Food,3.0,100.0,Kondhwa,,Pune
Cafe Kurleyz & Chinese House,Restaurant,"Chinese, Fast Food",3.0,350.0,Karve Nagar,,Pune
A-1 Vadapav & Snacks Center,Restaurant,Street Food,3.3,100.0,Dhankawadi,,Pune
Tricks 'n' Treats,Restaurant,"Bakery, Desserts",3.6,200.0,Kothrud,,Pune
Aswaad,Restaurant,"North Indian, Malwani, Biryani, Chinese",3.2,850.0,Lonavala,,Pune
Garam Masala,Restaurant,"North Indian, Mughlai, Chinese, Italian, Continental",3.5,800.0,Lonavala,,Pune
Ganu's Fast Food,Restaurant,"Biryani, North Indian, Mughlai",3.3,500.0,Pimpri,,Pune
Bagicha Family Resto,Restaurant,"North Indian, Chinese, Seafood",3.2,600.0,Pune-Solapur Road,,Pune
Bistro D18,Restaurant,North Indian,3.4,300.0,Kothrud,,Pune
Aaggatya Restaurant,Restaurant,"South Indian, North Indian",3.1,150.0,Wakad,,Pune
Hotel Sanket Inn,Restaurant,"North Indian, Chinese, Seafood",3.2,800.0,Wakad,,Pune
Krazy Koala,Restaurant,Fast Food,3.2,300.0,Lavasa,,Pune
Anup Hotel,Restaurant,"North Indian, Chinese",3.0,300.0,Vishrantwadi,,Pune
K-9,Restaurant,"Chinese, Momos",3.0,400.0,Koregaon Park,,Pune
Maharashtra Family Garden & Restaurant,Restaurant,"Maharashtrian, Chinese",3.5,700.0,Old Mumbai-Pune Highway,,Pune
Bites,Restaurant,"Chinese, North Indian",3.0,250.0,Kharadi,,Pune
Bikaner's Sev Bhandar,Restaurant,"Mithai, Street Food",2.7,150.0,Shukrawar Peth,,Pune
Yash Coffee Shop,Restaurant,Maharashtrian,3.0,200.0,Senapati Bapat Road,,Pune
Thali Darbaar,Restaurant,"North Indian, Gujarati",2.9,600.0,Lavasa,,Pune
Froosh,Restaurant,"Fast Food, Beverages",2.9,350.0,Lavasa,,Pune
Hotel Kaveri,Restaurant,"North Indian, Chinese",3.3,400.0,Old Mumbai-Pune Highway,,Pune
Garwa Garden Restaurant,Restaurant,"North Indian, Chinese, Malwani, Mughlai",3.0,650.0,Old Mumbai-Pune Highway,,Pune
Hotel Tanishkka,Restaurant,"North Indian, Chinese, South Indian",3.2,600.0,Old Mumbai-Pune Highway,,Pune
Tarang,Restaurant,"North Indian, Chinese",3.0,950.0,Sadashiv Peth,,Pune
Once Upon A Cake,Restaurant,"Bakery, Desserts",3.6,250.0,NIBM Road,,Pune
Punjab Da Tashan,Restaurant,"North Indian, Chinese, South Indian",3.1,450.0,Bund Garden Road,,Pune
Indulge,Restaurant,"North Indian, South Indian, Chinese, Rajasthani",2.3,550.0,Lavasa,,Pune
Aditya,Restaurant,"Rolls, South Indian, North Indian",3.3,300.0,Viman Nagar,,Pune
Raju Thali,Restaurant,North Indian,3.0,200.0,Koregaon Park,,Pune
Hotel Sitara,Restaurant,"North Indian, Maharashtrian, Malwani",3.4,550.0,Kothrud,,Pune
Red Cafe,Restaurant,"North Indian, South Indian, Chinese",3.4,500.0,Yerawada,,Pune
Mysore Junction,Restaurant,"South Indian, Street Food",3.9,300.0,Camp Area,,Pune
Sweet Retreat,Restaurant,Bakery,3.0,100.0,Kondhwa,,Pune
Felicita,Restaurant,"Italian, Fast Food, Desserts, Beverages",3.0,700.0,Camp Area,,Pune
Hotel Rajput,Restaurant,"North Indian, Chinese",3.5,400.0,Pimple Gurav,,Pune
Krushna Pure Veg,Restaurant,"North Indian, South Indian, Chinese",2.9,500.0,Kharadi,,Pune
Dine Fine,Restaurant,Fast Food,3.7,200.0,Wanowrie Kondhwa Area,,Pune
Tulsi Malai Kulfi,Restaurant,Ice Cream,3.5,100.0,Aundh,,Pune
Annapurna,Restaurant,"Maharashtrian, Chinese",3.0,350.0,Shivaji Nagar,,Pune
Amit Resto Bar,Restaurant,"North Indian, Seafood, Chinese",2.9,750.0,Sinhgad Road,,Pune
Sai Restaurant,Restaurant,"North Indian, Chinese",2.9,500.0,Sinhgad Road,,Pune
Ocean Blue,Restaurant,"Maharashtrian, Chinese, Biryani",3.0,700.0,Sinhgad Road,,Pune
Ya Khwaja Garib Nawaz Hotel,Restaurant,"North Indian, Mughlai, Chinese",3.4,500.0,Camp Area,,Pune
Vandan Restaurant,Restaurant,"South Indian, North Indian, Chinese, Beverages",2.9,400.0,Camp Area,,Pune
Hunger's Roll House,Restaurant,"Rolls, Chinese",3.1,300.0,Old Mumbai-Pune Highway,,Pune
Hotel Dil Se,Restaurant,"Chinese, North Indian",3.5,600.0,Aundh,,Pune
The Crispy Crust,Restaurant,"Chinese, Italian",3.5,500.0,NIBM Road,,Pune
Oven & Grill's,Restaurant,"Pizza, Fast Food",2.8,400.0,Shivaji Nagar,,Pune
Sakshi Hotel,Restaurant,"Chinese, North Indian",3.1,500.0,Pimpri,,Pune
Cafe Carnival,Restaurant,"Fast Food, Desserts",3.6,400.0,Viman Nagar,,Pune
Hotel Nandini,Restaurant,"Chinese, Maharashtrian, North Indian",2.9,500.0,Hadapsar,,Pune
Rainbow Darbar,Restaurant,"Biryani, Chinese, North Indian",3.7,350.0,Hinjawadi,,Pune
Hotel Riddhi Siddhi,Restaurant,"North Indian, Chinese, South Indian, Street Food",2.7,550.0,Lonavala,,Pune
Karavali,Restaurant,"North Indian, Mangalorean, Seafood",3.4,500.0,Wadgaon Sheri,,Pune
Smokin' Lee's,Restaurant,"Chinese, Fast Food",2.7,700.0,Nigdi,,Pune
Express Hotel,Restaurant,"Bengali, Chinese, Fast Food, North Indian",3.2,400.0,Pashan,,Pune
Hotel Saianushka,Restaurant,"North Indian, Biryani",3.4,800.0,Old Mumbai-Pune Highway,,Pune
Hotel Prasad,Restaurant,"North Indian, South Indian, Street Food, Chinese, Malwani",3.1,500.0,Chakan,,Pune
Amritsari Naan,Restaurant,North Indian,3.6,150.0,Hadapsar,,Pune
Cafe Chai Pani,Restaurant,"Fast Food, South Indian",2.7,200.0,Pimple Gurav,,Pune
Mint,Restaurant,Street Food,3.1,250.0,Kharadi,,Pune
Paa Roti,Restaurant,"Cafe, Fast Food",3.6,200.0,Magarpatta,,Pune
Godavari Veg Non Veg,Restaurant,"South Indian, Kerala",3.4,400.0,Magarpatta,,Pune
The Chopstix,Restaurant,Chinese,2.3,400.0,Dhankawadi,,Pune
Gayatri Restaurant & Bar,Restaurant,"North Indian, Biryani",3.0,650.0,Chinchwad,,Pune
NH Angara Family Restaurant,Restaurant,"Maharashtrian, Malwani, North Indian, South Indian",3.0,500.0,Chinchwad,,Pune
Cafe Liquid Lounge,Restaurant,Cafe,3.3,450.0,Pimple Saudagar,,Pune
Scholar's Inn,Restaurant,"Chinese, Mughlai, North Indian",3.2,350.0,Sinhgad Road,,Pune
Barsana Family Restaurant,Restaurant,"North Indian, Chinese",2.9,600.0,Chinchwad,,Pune
Sai Prasad,Restaurant,Fast Food,2.8,150.0,Hinjawadi,,Pune
Hungry?,Restaurant,"Fast Food, Biryani",2.9,400.0,SB Road - Aundh,,Pune
Hotel Shining Star,Restaurant,"North Indian, Chinese",2.8,500.0,Lonavala,,Pune
Hotel Jagdamb,Restaurant,"Maharashtrian, North Indian, Chinese, Seafood",3.1,500.0,Nigdi,,Pune
Authentic Royal,Restaurant,"North Indian, Chinese, Fast Food",2.5,700.0,Hadapsar,,Pune
Lutf,Restaurant,"North Indian, Chinese",2.7,450.0,Hinjawadi,,Pune
Coffee And Friends,Restaurant,"North Indian, Fast Food",2.8,150.0,Sinhgad Road,,Pune
Guru's Cafe,Restaurant,"Cafe, Fast Food",3.3,250.0,Warje,,Pune
Hunger Killers,Restaurant,Fast Food,3.1,250.0,Hinjawadi,,Pune
Tea A holic,Restaurant,"Tea, Fast Food",3.3,200.0,Hadapsar,,Pune
Triveni,Restaurant,"South Indian, Street Food",3.6,150.0,FC Road,,Pune
Cafe Canada,Restaurant,"Maharashtrian, North Indian",3.2,250.0,Rasta Peth,,Pune
Bhojwani Sweets,Restaurant,Mithai,2.8,450.0,Pimple Gurav,,Pune
Green Valley,Restaurant,"North Indian, Mongolian, Chinese",3.2,700.0,Wagholi,,Pune
Hyderabadi Biryani House,Restaurant,"Biryani, North Indian, South Indian",3.0,400.0,Lonavala,,Pune
New Rolex Bakery & Confectionery,Restaurant,Bakery,3.2,150.0,Kondhwa,,Pune
Hotel Satkar,Restaurant,"North Indian, Chinese, Maharashtrian, Malwani",3.0,700.0,Old Mumbai-Pune Highway,,Pune
Shri Krishna's Roll,Restaurant,"Chinese, Street Food, Rolls",3.0,300.0,Chinchwad,,Pune
Dawat,Restaurant,Maharashtrian,2.8,450.0,Bhosari,,Pune
Hotel Aditya,Restaurant,"Maharashtrian, North Indian",2.9,300.0,Bhosari,,Pune
Cafe Royal,Restaurant,Chinese,2.9,300.0,Rasta Peth,,Pune
Khandeshi Express,Restaurant,Maharashtrian,3.2,450.0,Pimple Gurav,,Pune
Hotel Gagangiri,Restaurant,"Chinese, North Indian",3.1,400.0,Karve Nagar,,Pune
Pune Spice,Restaurant,"North Indian, Chinese, South Indian",2.6,500.0,Karve Nagar,,Pune
Moni's Cake House,Restaurant,Bakery,3.2,500.0,Baner,,Pune
Hotel Sayaji,Restaurant,"Biryani, Maharashtrian",2.9,450.0,Hadapsar,,Pune
Alishan Chinese,Restaurant,Chinese,3.5,400.0,Kondhwa,,Pune
Hotel Onkar,Restaurant,"Street Food, North Indian",3.0,300.0,Chinchwad,,Pune
Sai Sagar Ice Cream,Restaurant,"Ice Cream, Fast Food",3.3,300.0,Pimpri,,Pune
Hotel Blue Inn Restaurant,Restaurant,"North Indian, Chinese",3.2,700.0,Wagholi,,Pune
Richard's Family Restaurant,Restaurant,"North Indian, Chinese",3.3,500.0,Pimpri,,Pune
Diet Hub,Restaurant,"Salad, North Indian",2.9,350.0,Pimple Nilakh,,Pune
Route 24 - The Hide Out Cafe,Restaurant,"Rolls, Chinese, Fast Food",3.5,300.0,Sinhgad Road,,Pune
Geeta Dining Hall,Restaurant,North Indian,3.1,250.0,Pimple Gurav,,Pune
Cream & Fudge,Restaurant,"Desserts, Bakery",3.2,300.0,FC Road,,Pune
Vinayaka's Kitchen,Restaurant,"North Indian, Chinese, Biryani",3.6,750.0,Baner,,Pune
Becky Bees,Restaurant,"Desserts, Ice Cream",3.9,400.0,Magarpatta,,Pune
Hotel Supriya Garden,Restaurant,"North Indian, Chinese",3.2,400.0,Wagholi,,Pune
Desi Fusion,Restaurant,"Pizza, Fast Food",3.2,450.0,Satara Road,,Pune
Anand Restaurant and Bar,Restaurant,"Malwani, North Indian, Chinese",3.2,1000.0,Kothrud,,Pune
Iceberg Fresh,Restaurant,"Desserts, Ice Cream",3.6,200.0,FC Road,,Pune
Gaarva,Restaurant,Chinese,2.9,350.0,Hadapsar,,Pune
Hotel Karan,Restaurant,"North Indian, Chinese",2.8,600.0,Baner,,Pune
Hotel Dilip Pure Veg,Restaurant,"North Indian, South Indian, Street Food, Fast Food",2.9,300.0,Shivaji Nagar,,Pune
Gurdjieff's Resto,Restaurant,"North Indian, Chinese",3.1,700.0,Koregaon Park,,Pune
Dawat Biryani House,Restaurant,North Indian,2.9,500.0,Bhosari,,Pune
Sameekshaa,Restaurant,"North Indian, Chinese",2.8,500.0,Dhanori,,Pune
Neeta's Inn,Restaurant,"Fast Food, North Indian, South Indian",2.2,450.0,Old Mumbai-Pune Highway,,Pune
Baywatch Branto- Treasure Island Resorts,Restaurant,"South Indian, North Indian, Mughlai, Chinese, Fast Food",2.9,700.0,Old Mumbai-Pune Highway,,Pune
El Taj,Restaurant,"North Indian, Mughlai, Chinese",3.5,700.0,Lonavala,,Pune
Madhura Restaurant,Restaurant,"South Indian, North Indian, Street Food",3.1,300.0,Camp Area,,Pune
Madhura Restaurant,Restaurant,"South Indian, North Indian, Street Food",3.1,300.0,Camp Area,,Pune
New Metro Restaurant,Restaurant,"North Indian, Maharashtrian",3.0,300.0,Camp Area,,Pune
MP's Garden Restaurant,Restaurant,"North Indian, Biryani",3.0,550.0,Shukrawar Peth,,Pune
Central Park Family Restaurants,Restaurant,"North Indian, South Indian",3.0,500.0,Dehu Road,,Pune
Punjabi Flavours,Restaurant,"North Indian, Kebab",3.6,600.0,Kharadi,,Pune
New Rasoi Garden,Restaurant,"North Indian, Chinese",2.5,600.0,Aundh,,Pune
Shree Pure Veg,Restaurant,"North Indian, Chinese",2.9,450.0,Vishrantwadi,,Pune
Chick Chicken Punjabi,Restaurant,"North Indian, Chinese, Mughlai",3.3,500.0,NIBM Road,,Pune
Yumme Tumme,Restaurant,Fast Food,3.4,300.0,Salunkhe Vihar Road,,Pune
Vijay Bhojanalay,Restaurant,"Maharashtrian, North Indian",3.3,300.0,Swargate,,Pune
Gulzar Restaurant,Restaurant,"Street Food, Fast Food",3.3,150.0,Camp Area,,Pune
Nidhi Restaurant,Restaurant,"North Indian, Chinese",3.2,600.0,Shaniwar Peth,,Pune
Ti Amo,Restaurant,"Desserts, Ice Cream",3.1,250.0,Deccan Gymkhana,,Pune
Santino's,Restaurant,"Pizza, Italian",3.4,500.0,Magarpatta,,Pune
Swami Snacks,Restaurant,North Indian,2.8,200.0,Erandwane,,Pune
Samadhan Pure Veg,Restaurant,"South Indian, North Indian, Chinese",2.8,600.0,Budhwar Peth,,Pune
Anna's Seafood Family Restaurant,Restaurant,"Mughlai, North Indian, Chinese",3.1,800.0,Wadgaon Sheri,,Pune
G D Executive,Restaurant,"North Indian, Chinese, Malwani",3.4,1000.0,Old Mumbai-Pune Highway,,Pune
New Vilas,Restaurant,"Maharashtrian, North Indian",3.2,400.0,Shivapur,,Pune
Hotel Mayur,Restaurant,North Indian,2.9,600.0,Chakan,,Pune
Hotel Sadanand,Restaurant,"North Indian, South Indian, Chinese, Biryani",2.9,400.0,Bund Garden Road,,Pune
Vijay Snacks,Restaurant,South Indian,3.8,150.0,Pimple Nilakh,,Pune
Sai Chaya Misal House,Restaurant,"Maharashtrian, Street Food",3.7,200.0,Shivapur,,Pune
Rohit Family Restaurant,Restaurant,"North Indian, Chinese, Maharashtrian, Malwani",2.9,500.0,Lonavala,,Pune
New Modern Bakery,Restaurant,Bakery,2.9,200.0,Pimple Nilakh,,Pune
Rudra Restaurant,Restaurant,"North Indian, Chinese, Fast Food",3.1,700.0,Lonavala,,Pune
Greendale Restaurant,Restaurant,"North Indian, Chinese, Seafood",3.3,650.0,Mulshi Road,,Pune
Darbar,Restaurant,"North Indian, Chinese",3.5,500.0,Pimple Gurav,,Pune
Hotel Panchali,Restaurant,"North Indian, Chinese, Kebab, Hyderabadi",3.2,650.0,Chakan,,Pune
Hotel Ratnai,Restaurant,"North Indian, Maharashtrian",3.4,600.0,Mulshi Road,,Pune
Yeta Jata,Restaurant,"South Indian, Chinese, Maharashtrian",3.4,450.0,Sadashiv Peth,,Pune
Hotel Century Garden,Restaurant,"North Indian, Chinese",3.1,600.0,Nigdi,,Pune
Hotel Century Garden,Restaurant,"North Indian, Chinese",3.1,600.0,Nigdi,,Pune
Sahil Resto Bar,Restaurant,"Fast Food, North Indian, Chinese, South Indian",3.2,1500.0,Tilak Road,,Pune
Sai,Restaurant,"North Indian, Chinese, Street Food",3.0,700.0,Camp Area,,Pune
Skoop Ice Cream Parlour,Restaurant,"Desserts, Ice Cream",3.4,150.0,Pune University,,Pune
Rachana,Restaurant,"North Indian, Chinese, Mughlai",2.6,400.0,Model Colony,,Pune
Hotel Swagat,Restaurant,"North Indian, South Indian",3.6,400.0,Shivaji Nagar,,Pune
Sudarshan,Restaurant,"Bar Food, Chinese, North Indian",3.1,300.0,Khadki,,Pune
Hotel Dhanshree,Restaurant,"North Indian, Chinese, Malwani",3.2,700.0,Dehu Road,,Pune
Arpita,Restaurant,North Indian,3.2,450.0,Lohegaon,,Pune
Sinhgad Restaurant,Restaurant,"North Indian, South Indian, Chinese",3.2,450.0,Sinhgad Road,,Pune
Hotel Renuka,Restaurant,"North Indian, Chinese, Mughlai, Biryani",3.2,1100.0,Dehu Road,,Pune
Somton Motel,Restaurant,"North Indian, Chinese",3.5,1000.0,Talegaon,,Pune
Hotel Muktangan,Restaurant,"North Indian, South Indian, Chinese",3.2,500.0,Shivapur,,Pune
Hotel Priyanka,Restaurant,"North Indian, Chinese",2.9,600.0,Hadapsar,,Pune
Tilak Restaurant,Restaurant,North Indian,3.0,350.0,Pimple Gurav,,Pune
Aahar Resto Bar,Restaurant,"North Indian, Seafood, Chinese",3.2,500.0,MG Road,,Pune
Ambika Bhuwan,Restaurant,Street Food,3.1,100.0,Parvati,,Pune
Invitation's Today,Restaurant,"North Indian, Continental, Chinese",3.0,1100.0,Balewadi,,Pune
Gelato Da Vinci,Restaurant,"Desserts, Ice Cream",2.8,200.0,Camp Area,,Pune
Leaf Restaurant,Restaurant,"North Indian, Chinese",3.0,500.0,Chandan Nagar,,Pune
Chanakya,Restaurant,"Chinese, North Indian, Mughlai, Malwani",3.3,750.0,Chinchwad,,Pune
RK House of Rolls,Restaurant,"Rolls, Biryani, Chinese, North Indian",2.6,350.0,Chinchwad,,Pune
Poonam Restaurant,Restaurant,"North Indian, Chinese",3.3,600.0,JM Road,,Pune
Kunjavan - Gandharv Residency,Restaurant,"North Indian, Chinese",3.2,800.0,Shivaji Nagar,,Pune
Rounak,Restaurant,"North Indian, Chinese, Tamil",3.1,800.0,Pimpri,,Pune
Hotel Samrat,Restaurant,"North Indian, South Indian, Fast Food, Chinese",3.1,400.0,Swargate,,Pune
Saanj Garden Restaurant & Bar,Restaurant,"North Indian, Chinese, Biryani, Maharashtrian, Malwani",3.0,750.0,Warje,,Pune
Hotel Shubham,Restaurant,"North Indian, Chinese",3.6,600.0,Hinjawadi,,Pune
Durga Restaurant & Bar,Restaurant,"North Indian, Chinese, Fast Food, Mughlai",3.0,700.0,Parvati,,Pune
Venkie's Food Corner,Restaurant,"North Indian, Chinese",3.3,600.0,Vishrantwadi,,Pune
Mix - Hotel Royal Orchid Central,Restaurant,"Finger Food, Continental, South Indian, North Indian",3.4,2200.0,Kalyani Nagar,,Pune
Malhar Restaurant & Bar,Restaurant,"North Indian, Chinese",3.0,1000.0,Shukrawar Peth,,Pune
Gelato Italiano,Restaurant,"Ice Cream, Desserts, Bakery",2.9,200.0,Dhole Patil Road,,Pune
More Chinar Snack Centre,Restaurant,Street Food,2.9,150.0,Baner,,Pune
Shree Krishna,Restaurant,"North Indian, South Indian, Chinese",3.1,400.0,Budhwar Peth,,Pune
Beijing China,Restaurant,"Chinese, Juices",2.9,350.0,Kothrud,,Pune
Bombay South,Restaurant,"Chinese, North Indian, Mughlai, Lebanese",3.5,500.0,Kondhwa,,Pune
Granma's Homemade,Restaurant,"Bakery, Desserts, Beverages",3.6,350.0,Lavasa,,Pune
Hotel Mini Mahal,Restaurant,"North Indian, Chinese, Fast Food",3.7,1000.0,Old Mumbai-Pune Highway,,Pune
Green Table,Restaurant,Healthy Food,3.5,1500.0,Old Mumbai-Pune Highway,,Pune
Flambe Food Court,Restaurant,"North Indian, Chinese, Bihari",2.8,550.0,Dhanori,,Pune
Nakshatra,Restaurant,"North Indian, Chinese",3.2,600.0,Chinchwad,,Pune
Hotel Shri Yash,Restaurant,"Maharashtrian, Seafood, North Indian",3.1,650.0,Bhosari,,Pune
Zodiac - Fortune Select Dasve,Restaurant,"Cafe, North Indian, Chinese, Continental",3.6,1500.0,Lavasa,,Pune
The Pizza Treat,Restaurant,Pizza,3.4,450.0,Katraj,,Pune
Swad Point,Restaurant,"North Indian, Chinese, Mughlai",3.2,450.0,Pimple Gurav,,Pune
Sai Datta,Restaurant,"North Indian, Chinese",3.4,600.0,Bhosari,,Pune
Rani Rasoi,Restaurant,"North Indian, Chinese, Mughlai",3.3,1000.0,Lonavala,,Pune
Tabakh,Restaurant,"Lebanese, Rolls",2.2,300.0,Lavasa,,Pune
Hotel Indrayani,Restaurant,"North Indian, Mughlai, Chinese",2.9,400.0,Hadapsar,,Pune
The Patio,Restaurant,"North Indian, Chinese",3.1,500.0,Lonavala,,Pune
Urbounce Cafe,Restaurant,"Cafe, Healthy Food",3.2,500.0,Baner,,Pune
Vighneshwara Pure Veg,Restaurant,"North Indian, South Indian, Street Food",3.4,700.0,Shukrawar Peth,,Pune
Amigo Bakers,Restaurant,"Bakery, Desserts",3.3,100.0,Vishrantwadi,,Pune
XOXO Desserts,Restaurant,"Bakery, Desserts",3.8,250.0,Bund Garden Road,,Pune
Juice Buzz,Restaurant,Juices,3.1,250.0,Shivaji Nagar,,Pune
Rajdhani Burger & Pizzas,Restaurant,Fast Food,2.9,250.0,Yerawada,,Pune
GOZO Homemade Icecreams,Restaurant,"Desserts, Bakery, Ice Cream",3.8,150.0,Baner,,Pune
Celebration Veg Resto,Restaurant,"North Indian, Chinese, South Indian",2.7,500.0,Bhosari,,Pune
Swad Family Restaurant,Restaurant,"North Indian, Chinese",2.9,500.0,Hadapsar,,Pune
Dhiraj Restaurant,Restaurant,"North Indian, Chinese, South Indian, Mughlai",2.6,1000.0,Lonavala,,Pune
Good Food,Restaurant,"South Indian, Maharashtrian, Street Food",3.0,100.0,Pimpri,,Pune
Kondhalkar Mastani House,Restaurant,"Ice Cream, Beverages",3.6,200.0,Sadashiv Peth,,Pune
Jui's Chill & Grill,Restaurant,"South Indian, North Indian, Fast Food, Biryani, Beverages",3.2,450.0,Chandan Nagar,,Pune
Halka Fulka,Restaurant,"South Indian, North Indian",2.2,550.0,Wakad,,Pune
Siddhi Biryani,Restaurant,"Biryani, Chinese, Malwani, North Indian",3.5,500.0,Dhankawadi,,Pune
Scoops Ice Cream,Restaurant,Ice Cream,3.2,150.0,Kondhwa,,Pune
Green Villa Restaurant,Restaurant,"Chinese, Fast Food",3.3,450.0,Koregaon Park,,Pune
Billi's Food Corner,Restaurant,"Fast Food, North Indian",3.4,300.0,MG Road,,Pune
Fantasie Fine Chocolates,Restaurant,Desserts,3.2,400.0,Dhole Patil Road,,Pune
Italian,Restaurant,Italian,3.3,300.0,Aundh,,Pune
Meena's Point,Restaurant,"Fast Food, South Indian, Chinese",3.6,250.0,Salunkhe Vihar Road,,Pune
Cocktails,Restaurant,"Desserts, Ice Cream",3.6,200.0,Balewadi,,Pune
N Square Hotel,Restaurant,"North Indian, Chinese",3.0,300.0,Bhosari,,Pune
Healthy Bites,Restaurant,Fast Food,3.0,300.0,Bibvewadi,,Pune
Rice Express,Restaurant,"Chinese, Thai, Asian",3.5,400.0,Akurdi,,Pune
Biryani House,Restaurant,"Fast Food, Biryani",3.0,350.0,Kondhwa,,Pune
Lolo Food,Restaurant,"North Indian, Bengali, Seafood",3.2,500.0,Pimple Saudagar,,Pune
Pallagio,Restaurant,"North Indian, Chinese, European",3.7,1000.0,Old Mumbai-Pune Highway,,Pune
Chopstick Chinese Fast Food,Restaurant,Chinese,3.0,250.0,Bhosari,,Pune
